Citation 1,Citation 2,Conection Type,Text 1,Text 2,Category 1,Category 2
Akeidat Yitzchak 11:11,Ecclesiastes 4:9,,Akeidat Yitzchak,Ecclesiastes,Parshanut,Tanach
Akeidat Yitzchak 11:2,Bereishit Rabbah 22,,Akeidat Yitzchak,Bereishit Rabbah,Parshanut,Midrash
Akeidat Yitzchak 11:23,Psalms 78:71,,Akeidat Yitzchak,Psalms,Parshanut,Tanach
Akeidat Yitzchak 11:3,Chullin 58a,,Akeidat Yitzchak,Chullin,Parshanut,Talmud
Akeidat Yitzchak 11:30,Pirkei Avot 4:21,,Akeidat Yitzchak,Pirkei Avot,Parshanut,Mishnah
Akeidat Yitzchak 11:39,Bereishit Rabbah 23,,Akeidat Yitzchak,Bereishit Rabbah,Parshanut,Midrash
Akeidat Yitzchak 11:39,Bereishit Rabbah 22,,Akeidat Yitzchak,Bereishit Rabbah,Parshanut,Midrash
Akeidat Yitzchak 11:52,Genesis 5:3,,Akeidat Yitzchak,Genesis,Parshanut,Tanach
Akeidat Yitzchak 11:59,Genesis 5:29,,Akeidat Yitzchak,Genesis,Parshanut,Tanach
Akeidat Yitzchak 11:64,Psalms 90:10,,Akeidat Yitzchak,Psalms,Parshanut,Tanach
Akeidat Yitzchak 11:66,Genesis 6:3,,Akeidat Yitzchak,Genesis,Parshanut,Tanach
Akeidat Yitzchak 11:67,Psalms 82:6,,Akeidat Yitzchak,Psalms,Parshanut,Tanach
Akeidat Yitzchak 11:70,Genesis 6:5,,Akeidat Yitzchak,Genesis,Parshanut,Tanach
Akeidat Yitzchak 11:76,Numbers 22:34,,Akeidat Yitzchak,Numbers,Parshanut,Tanach
Akeidat Yitzchak 11:78,Deuteronomy 31,,Akeidat Yitzchak,Deuteronomy,Parshanut,Tanach
Akeidat Yitzchak 12:14,Chagigah 3a,,Akeidat Yitzchak,Chagigah,Parshanut,Talmud
Akeidat Yitzchak 12:14,Pirkei Avot 5:20,,Akeidat Yitzchak,Pirkei Avot,Parshanut,Mishnah
Akeidat Yitzchak 12:15,Joshua 22,,Akeidat Yitzchak,Joshua,Parshanut,Tanach
Akeidat Yitzchak 12:17,Eruvin 13a,,Akeidat Yitzchak,Eruvin,Parshanut,Talmud
Akeidat Yitzchak 12:18,Ecclesiastes 7:1,,Akeidat Yitzchak,Ecclesiastes,Parshanut,Tanach
Akeidat Yitzchak 12:22,Genesis 9:19,,Akeidat Yitzchak,Genesis,Parshanut,Tanach
Akeidat Yitzchak 12:33,Berakhot 3a,,Akeidat Yitzchak,Berakhot,Parshanut,Talmud
Akeidat Yitzchak 12:36,Leviticus 26:1,,Akeidat Yitzchak,Leviticus,Parshanut,Tanach
Akeidat Yitzchak 12:38,Pirkei Avot 5:10,,Akeidat Yitzchak,Pirkei Avot,Parshanut,Mishnah
Akeidat Yitzchak 12:40,Pirkei Avot 5:1,,Akeidat Yitzchak,Pirkei Avot,Parshanut,Mishnah
Akeidat Yitzchak 12:5,II Samuel 7:19,,Akeidat Yitzchak,II Samuel,Parshanut,Tanach
Akeidat Yitzchak 12:8,II Samuel 1,,Akeidat Yitzchak,II Samuel,Parshanut,Tanach
Akeidat Yitzchak 12:9,Proverbs 2:14,,Akeidat Yitzchak,Proverbs,Parshanut,Tanach
Akeidat Yitzchak 13:10,Genesis 8:22,,Akeidat Yitzchak,Genesis,Parshanut,Tanach
Akeidat Yitzchak 13:12,Rosh Hashanah 11a,,Akeidat Yitzchak,Rosh Hashanah,Parshanut,Talmud
Akeidat Yitzchak 13:15,Shabbat 53a,,Akeidat Yitzchak,Shabbat,Parshanut,Talmud
Akeidat Yitzchak 13:17,Ketubot 76a,,Akeidat Yitzchak,Ketubot,Parshanut,Talmud
Akeidat Yitzchak 13:2,Pirkei Avot 5:2,,Akeidat Yitzchak,Pirkei Avot,Parshanut,Mishnah
Akeidat Yitzchak 13:23,Exodus 34:10,,Akeidat Yitzchak,Exodus,Parshanut,Tanach
Akeidat Yitzchak 13:23,Joshua 11:16,,Akeidat Yitzchak,Joshua,Parshanut,Tanach
Akeidat Yitzchak 13:24,Numbers 26:20,,Akeidat Yitzchak,Numbers,Parshanut,Tanach
Akeidat Yitzchak 13:28,Deuteronomy 34:10,,Akeidat Yitzchak,Deuteronomy,Parshanut,Tanach
Akeidat Yitzchak 13:33,Job 37,,Akeidat Yitzchak,Job,Parshanut,Tanach
Akeidat Yitzchak 13:33,Jonah 4:11,,Akeidat Yitzchak,Jonah,Parshanut,Tanach
Akeidat Yitzchak 13:4,Jeremiah 31:10,,Akeidat Yitzchak,Jeremiah,Parshanut,Tanach
Akeidat Yitzchak 13:41,Genesis 7:24,,Akeidat Yitzchak,Genesis,Parshanut,Tanach
Akeidat Yitzchak 13:46,Sanhedrin 108a,,Akeidat Yitzchak,Sanhedrin,Parshanut,Talmud
Akeidat Yitzchak 14:19,Isaiah 54:10,,Akeidat Yitzchak,Isaiah,Parshanut,Tanach
Akeidat Yitzchak 14:2,Bereishit Rabbah 35,,Akeidat Yitzchak,Bereishit Rabbah,Parshanut,Midrash
Akeidat Yitzchak 14:2,Berakhot 59a,,Akeidat Yitzchak,Berakhot,Parshanut,Talmud
Akeidat Yitzchak 14:2,Ezekiel 1,,Akeidat Yitzchak,Ezekiel,Parshanut,Tanach
Akeidat Yitzchak 14:21,Sanhedrin 109a,,Akeidat Yitzchak,Sanhedrin,Parshanut,Talmud
Akeidat Yitzchak 14:22,Genesis 11:3,,Akeidat Yitzchak,Genesis,Parshanut,Tanach
Akeidat Yitzchak 14:28,Genesis 8:21,,Akeidat Yitzchak,Genesis,Parshanut,Tanach
Akeidat Yitzchak 14:33,Genesis 9:9,,Akeidat Yitzchak,Genesis,Parshanut,Tanach
Akeidat Yitzchak 14:36,Pirkei Avot 5:6,,Akeidat Yitzchak,Pirkei Avot,Parshanut,Mishnah
Akeidat Yitzchak 14:39,Ketubot 77a,,Akeidat Yitzchak,Ketubot,Parshanut,Talmud
Akeidat Yitzchak 14:41,Isaiah 54:10,,Akeidat Yitzchak,Isaiah,Parshanut,Tanach
Akeidat Yitzchak 14:42,Shabbat 151a,,Akeidat Yitzchak,Shabbat,Parshanut,Talmud
Akeidat Yitzchak 14:42,Ecclesiastes 12:1,,Akeidat Yitzchak,Ecclesiastes,Parshanut,Tanach
Akeidat Yitzchak 14:47,Psalms 33:4,,Akeidat Yitzchak,Psalms,Parshanut,Tanach
Akeidat Yitzchak 14:5,Deuteronomy 10:17,,Akeidat Yitzchak,Deuteronomy,Parshanut,Tanach
Akeidat Yitzchak 14:52,Genesis 11:5,,Akeidat Yitzchak,Genesis,Parshanut,Tanach
Akeidat Yitzchak 14:54,Genesis 4:17,,Akeidat Yitzchak,Genesis,Parshanut,Tanach
Akeidat Yitzchak 14:7,Genesis 18:25,,Akeidat Yitzchak,Genesis,Parshanut,Tanach
Akeidat Yitzchak 14:9,Psalms 145:17,,Akeidat Yitzchak,Psalms,Parshanut,Tanach
Akeidat Yitzchak 15:10,Shabbat 151a,,Akeidat Yitzchak,Shabbat,Parshanut,Talmud
Akeidat Yitzchak 15:10,Psalms 49:13,,Akeidat Yitzchak,Psalms,Parshanut,Tanach
Akeidat Yitzchak 15:14,Isaiah 11:7,,Akeidat Yitzchak,Isaiah,Parshanut,Tanach
Akeidat Yitzchak 15:15,Daniel 6,,Akeidat Yitzchak,Daniel,Parshanut,Tanach
Akeidat Yitzchak 15:19,Pesachim 118a,,Akeidat Yitzchak,Pesachim,Parshanut,Talmud
Akeidat Yitzchak 15:2,Ketubot 5a,,Akeidat Yitzchak,Ketubot,Parshanut,Talmud
Akeidat Yitzchak 15:2,Exodus 15:17,,Akeidat Yitzchak,Exodus,Parshanut,Tanach
Akeidat Yitzchak 15:2,Psalms 95:5,,Akeidat Yitzchak,Psalms,Parshanut,Tanach
Akeidat Yitzchak 15:2,Psalms 8:4,,Akeidat Yitzchak,Psalms,Parshanut,Tanach
Akeidat Yitzchak 15:2,Psalms 19:2,,Akeidat Yitzchak,Psalms,Parshanut,Tanach
Akeidat Yitzchak 15:22,Berakhot 33a,,Akeidat Yitzchak,Berakhot,Parshanut,Talmud
Akeidat Yitzchak 15:23,I Kings 20,,Akeidat Yitzchak,I Kings,Parshanut,Tanach
Akeidat Yitzchak 15:26,Numbers 14:9,,Akeidat Yitzchak,Numbers,Parshanut,Tanach
Akeidat Yitzchak 15:27,I Samuel 17,,Akeidat Yitzchak,I Samuel,Parshanut,Tanach
Akeidat Yitzchak 15:3,Bereishit Rabbah 19,,Akeidat Yitzchak,Bereishit Rabbah,Parshanut,Midrash
Akeidat Yitzchak 15:3,Psalms 104:2,,Akeidat Yitzchak,Psalms,Parshanut,Tanach
Akeidat Yitzchak 15:3,Shabbat 121a,,Akeidat Yitzchak,Shabbat,Parshanut,Talmud
Akeidat Yitzchak 15:3,Genesis 9:2,,Akeidat Yitzchak,Genesis,Parshanut,Tanach
Akeidat Yitzchak 15:34,I Samuel 17:55,,Akeidat Yitzchak,I Samuel,Parshanut,Tanach
Akeidat Yitzchak 15:34,I Samuel 16:19,,Akeidat Yitzchak,I Samuel,Parshanut,Tanach
Akeidat Yitzchak 15:35,Pirkei Avot 5:16,,Akeidat Yitzchak,Pirkei Avot,Parshanut,Mishnah
Akeidat Yitzchak 15:35,Leviticus 19:18,,Akeidat Yitzchak,Leviticus,Parshanut,Tanach
Akeidat Yitzchak 15:45,Pesachim 49a,,Akeidat Yitzchak,Pesachim,Parshanut,Talmud
Akeidat Yitzchak 15:54,Genesis 9:6,,Akeidat Yitzchak,Genesis,Parshanut,Tanach
Akeidat Yitzchak 15:54,Exodus 21:29,,Akeidat Yitzchak,Exodus,Parshanut,Tanach
Akeidat Yitzchak 15:6,Exodus 14:27,,Akeidat Yitzchak,Exodus,Parshanut,Tanach
Akeidat Yitzchak 15:9,Sukkah 53a,,Akeidat Yitzchak,Sukkah,Parshanut,Talmud
Akeidat Yitzchak 16:1,Bereishit Rabbah 39,,Akeidat Yitzchak,Bereishit Rabbah,Parshanut,Midrash
Akeidat Yitzchak 16:1,Psalms 45:11,,Akeidat Yitzchak,Psalms,Parshanut,Tanach
Akeidat Yitzchak 16:11,Deuteronomy 18:14,,Akeidat Yitzchak,Deuteronomy,Parshanut,Tanach
Akeidat Yitzchak 16:13,I Chronicles 28:9,,Akeidat Yitzchak,I Chronicles,Parshanut,Tanach
Akeidat Yitzchak 16:14,Joshua 24:2,,Akeidat Yitzchak,Joshua,Parshanut,Tanach
Akeidat Yitzchak 16:14,Genesis 15:6,,Akeidat Yitzchak,Genesis,Parshanut,Tanach
Akeidat Yitzchak 16:17,Bereishit Rabbah 30,,Akeidat Yitzchak,Bereishit Rabbah,Parshanut,Midrash
